UF,jan. 2004,fev. 2004,mar. 2004,abr. 2004,mai. 2004,jun. 2004,jul. 2004,ago. 2004,set. 2004,out. 2004,nov. 2004,dez. 2004,jan. 2005,fev. 2005,mar. 2005,abr. 2005,mai. 2005,jun. 2005,jul. 2005,ago. 2005,set. 2005,out. 2005,nov. 2005,dez. 2005,jan. 2006,fev. 2006,mar. 2006,abr. 2006,mai. 2006,jun. 2006,jul. 2006,ago. 2006,set. 2006,out. 2006,nov. 2006,dez. 2006,jan. 2007,fev. 2007,mar. 2007,abr. 2007,mai. 2007,jun. 2007,jul. 2007,ago. 2007,set. 2007,out. 2007,nov. 2007,dez. 2007,jan. 2008,fev. 2008,mar. 2008,abr. 2008,mai. 2008,jun. 2008,jul. 2008,ago. 2008,set. 2008,out. 2008,nov. 2008,dez. 2008,jan. 2009,fev. 2009,mar. 2009,abr. 2009,mai. 2009,jun. 2009,jul. 2009,ago. 2009,set. 2009,out. 2009,nov. 2009,dez. 2009,jan. 2010,fev. 2010,mar. 2010,abr. 2010,mai. 2010,jun. 2010,jul. 2010,ago. 2010,set. 2010,out. 2010,nov. 2010,dez. 2010,jan. 2011,fev. 2011,mar. 2011,abr. 2011,mai. 2011,jun. 2011,jul. 2011,ago. 2011,set. 2011,out. 2011,nov. 2011,dez. 2011,jan. 2012,fev. 2012,mar. 2012,abr. 2012,mai. 2012,jun. 2012,jul. 2012,ago. 2012,set. 2012,out. 2012,nov. 2012,dez. 2012,jan. 2013,fev. 2013,mar. 2013,abr. 2013,mai. 2013,jun. 2013,jul. 2013,ago. 2013,set. 2013,out. 2013,nov. 2013,dez. 2013,jan. 2014,fev. 2014,mar. 2014,abr. 2014,mai. 2014,jun. 2014,jul. 2014,ago. 2014,set. 2014,out. 2014,nov. 2014,dez. 2014,jan. 2015,fev. 2015,mar. 2015,abr. 2015,mai. 2015,jun. 2015,jul. 2015,ago. 2015,set. 2015,out. 2015,nov. 2015,dez. 2015,jan. 2016,fev. 2016,mar. 2016,abr. 2016,mai. 2016,jun. 2016,jul. 2016,ago. 2016,set. 2016,out. 2016,nov. 2016,dez. 2016,jan. 2017,fev. 2017,mar. 2017,abr. 2017,mai. 2017,jun. 2017,jul. 2017,ago. 2017,set. 2017,out. 2017,nov. 2017,dez. 2017,jan. 2018,fev. 2018,mar. 2018,abr. 2018,mai. 2018,jun. 2018,jul. 2018,ago. 2018,set. 2018,out. 2018,nov. 2018,dez. 2018,jan. 2019,fev. 2019,mar. 2019,abr. 2019,mai. 2019,jun. 2019,jul. 2019,ago. 2019,set. 2019,out. 2019,nov. 2019,dez. 2019,jan. 2020,fev. 2020,mar. 2020,abr. 2020,mai. 2020,jun. 2020,jul. 2020,ago. 2020,set. 2020,out. 2020,nov. 2020,dez. 2020,jan. 2021,fev. 2021,mar. 2021,abr. 2021,mai. 2021,jun. 2021,jul. 2021,ago. 2021,set. 2021,out. 2021,nov. 2021,dez. 2021,jan. 2022,fev. 2022,mar. 2022,abr. 2022,mai. 2022,jun. 2022,jul. 2022,ago. 2022,set. 2022,out. 2022,nov. 2022,dez. 2022,jan. 2023
Rio Grande do Norte,4.370,4.371,4.396,4.402,4.403,4.401,4.392,4.384,4.384,4.407,4.417,4.440,4.459,4.472,4.426,4.404,4.390,4.399,4.428,4.428,4.451,4.464,4.476,4.488,4.500,4.493,4.528,4.553,4.586,4.626,4.657,4.656,4.674,4.703,4.720,4.739,4.562,4.683,4.784,4.656,4.669,4.695,4.699,4.720,4.733,4.752,4.772,4.805,4.971,5.000,5.034,5.053,5.064,5.086,5.115,5.134,5.140,5.169,5.186,5.178,5.176,5.184,5.211,5.223,5.243,5.242,5.284,5.288,5.257,5.348,5.247,5.257,5.241,5.220,5.198,5.196,5.202,5.165,5.172,5.171,5.264,5.253,5.245,5.228,5.224,5.213,5.172,5.161,5.160,5.147,5.130,5.109,5.083,5.058,5.043,5.044,5.033,5.048,5.031,5.010,5.002,5.000,4.979,4.974,4.973,4.958,4.936,4.904,4.894,4.888,4.878,4.848,4.821,4.820,4.808,4.810,4.802,4.790,4.777,4.784,4.774,4.768,4.757,4.752,4.734,4.692,4.116,4.050,3.942,2.333,1.616,1.529,1.531,1.514,1.508,1.510,1.476,1.474,1.478,1.482,1.483,1.492,1.488,1.486,1.493,1.488,1.489,1.481,1.478,1.472,1.477,1.477,1.472,1.473,1.464,1.462,1.465,1.460,1.456,1.453,1.453,1.450,1.452,1.457,1.453,1.463,1.455,1.460,1.456,1.455,1.450,1.454,1.450,1.456,1.457,1.447,1.445,1.450,1.455,1.457,1.463,1.405,1.349,1.351,1.353,1.354,1.354,1.356,1.361,1.350,1.280,1.290,1.292,1.292,1.312,1.337,1.341,1.336,1.342,1.351,1.356,1.362,1.368,1.383,1.389,1.367,1.372,1.378,1.385,1.394,1.397,1.406,1.412,1.415,1.428,1.441,1.443,1.446,1.448,1.447,1.444,1.446,1.447,1.458,1.463,1.459,1.459,1.458,1.499
Paraíba,4.842,4.848,4.823,4.853,4.845,4.815,4.722,4.811,4.811,4.790,4.786,4.792,4.809,4.817,4.790,4.784,4.667,4.775,4.762,4.756,4.772,4.781,4.788,4.815,4.805,4.816,4.819,4.810,4.809,4.809,4.832,4.836,4.831,4.858,4.843,4.823,4.782,4.784,4.762,4.753,4.764,4.756,4.762,4.787,4.806,4.821,4.806,4.831,4.852,4.926,4.972,4.996,5.012,5.014,5.111,5.187,5.211,5.283,5.246,5.266,5.246,5.260,5.249,5.300,5.188,5.144,5.120,5.128,5.219,5.306,5.213,5.126,5.104,5.079,5.110,5.113,5.110,5.116,5.145,5.143,5.182,5.193,5.233,5.218,5.220,5.233,5.223,5.256,5.235,5.230,5.195,5.208,5.226,5.228,5.219,5.220,5.214,5.213,5.218,5.215,5.209,5.224,5.223,5.207,5.224,5.205,5.200,5.181,5.183,5.174,5.148,5.159,5.167,5.171,5.178,5.180,5.178,5.190,5.177,5.159,5.146,5.150,5.138,5.145,5.148,5.148,5.150,5.120,5.108,5.113,5.111,5.094,5.073,5.071,5.061,5.044,5.037,5.031,5.030,5.016,5.007,4.968,4.946,4.916,4.892,4.881,4.850,4.839,4.836,4.804,4.815,4.827,4.792,4.773,4.743,4.738,4.704,4.692,4.669,4.657,4.655,4.672,4.670,4.669,4.667,4.623,4.613,4.595,4.593,4.600,4.587,4.585,4.599,4.576,4.557,4.537,4.532,4.530,4.532,4.515,4.495,4.478,4.468,4.427,4.454,4.447,4.445,4.438,4.417,4.419,4.407,4.421,4.408,4.437,4.436,4.426,4.430,4.447,4.445,4.447,4.459,4.468,4.499,4.513,4.439,4.519,4.329,4.520,4.533,4.537,4.519,4.488,4.509,4.522,4.522,4.485,4.472,4.539,4.541,4.547,4.532,4.544,4.549,4.514,4.530,4.542,4.538,4.541,4.561
Pernambuco,10.647,10.348,10.317,10.254,10.158,10.115,10.080,10.151,10.210,10.430,10.445,10.424,10.528,10.515,10.659,10.654,10.656,10.663,10.663,10.858,10.908,10.943,10.955,10.973,10.976,11.013,11.009,11.025,11.024,10.965,10.926,10.914,10.972,11.013,11.067,11.163,11.126,12.432,12.558,11.571,11.546,11.634,11.665,11.772,11.850,11.970,12.051,12.094,12.118,12.181,12.235,12.250,12.292,12.318,12.319,12.355,12.429,12.493,12.537,12.912,12.687,12.623,13.075,12.697,12.667,12.698,12.687,12.666,13.926,12.765,13.497,13.534,13.523,13.506,13.512,13.489,13.499,13.524,13.531,13.496,13.452,13.447,13.437,13.435,13.416,13.400,13.395,13.376,13.371,13.344,13.335,13.331,13.206,13.047,12.971,12.828,12.736,12.622,12.685,12.657,12.717,12.676,12.572,12.620,12.618,12.622,12.580,12.551,12.539,12.483,12.452,12.450,12.395,12.342,12.326,12.284,12.264,12.219,12.193,12.065,12.011,11.974,11.956,11.930,11.899,11.862,11.825,11.782,11.576,11.410,5.753,4.892,4.884,4.872,4.861,4.860,4.840,4.806,4.777,4.748,4.969,4.979,4.994,4.996,5.006,6.180,5.256,5.248,5.203,5.191,5.205,5.171,5.228,5.460,5.465,5.423,5.409,5.388,5.377,5.360,5.361,5.306,5.336,5.312,5.279,5.232,5.221,5.199,5.163,5.137,5.123,5.106,5.079,5.046,5.019,4.992,4.954,4.950,4.942,4.958,4.964,4.945,4.942,4.936,4.927,4.922,4.910,4.907,4.902,4.901,4.905,4.962,4.961,4.946,4.947,4.930,4.887,4.878,4.868,4.844,4.850,4.748,4.840,4.733,4.739,4.774,4.764,4.725,4.807,4.790,4.847,4.831,4.805,4.784,4.828,4.810,4.832,4.835,4.828,4.838,4.834,4.855,4.874,4.865,4.871,5.155,5.151,5.186,5.218
Alagoas,2.584,2.603,2.627,2.606,2.637,2.619,2.636,2.642,2.651,2.646,2.665,2.687,2.732,2.739,2.758,2.757,2.745,2.734,2.771,2.853,2.804,2.799,2.823,2.804,2.758,2.782,2.767,2.756,2.740,2.750,2.719,2.719,2.706,2.713,2.729,2.721,2.685,2.689,2.684,2.682,2.687,2.676,2.684,2.680,2.701,2.673,2.664,2.671,2.666,2.654,2.608,2.627,2.644,2.616,2.628,2.612,2.637,2.630,2.639,2.649,2.641,2.606,2.606,2.592,2.587,2.576,2.583,2.573,2.597,2.598,2.637,2.655,2.661,2.671,2.607,2.664,2.663,2.659,2.643,2.635,2.659,2.634,2.663,2.646,2.660,2.671,2.661,2.667,2.644,2.654,2.657,2.666,2.669,2.676,2.681,2.681,2.648,2.680,2.686,2.684,2.682,2.706,2.674,2.664,2.671,2.663,2.670,2.675,2.673,2.674,2.648,2.649,2.652,2.650,2.662,2.647,2.650,2.647,2.628,2.653,2.635,2.654,2.629,2.645,2.648,2.644,2.620,2.625,2.582,2.608,2.572,2.597,2.584,2.586,2.583,2.598,2.560,2.559,2.528,2.540,2.493,2.535,2.489,2.510,2.487,2.554,2.460,2.477,2.467,2.596,2.658,2.641,2.646,2.613,2.604,2.609,2.545,2.565,2.582,2.557,2.556,2.539,2.538,2.501,2.474,2.525,2.489,2.350,2.472,2.486,2.463,2.435,2.410,2.440,2.427,2.391,2.426,2.363,2.317,2.335,2.165,2.307,2.255,2.290,2.280,2.163,2.293,2.216,2.169,2.313,2.218,1.977,1.874,2.077,1.817,2.069,1.996,1.888,2.113,2.140,2.102,2.077,2.016,2.088,1.994,1.930,1.994,2.030,1.933,1.986,2.010,1.955,1.906,1.777,1.936,1.887,1.872,1.900,1.890,1.866,1.883,1.778,1.874,1.947,1.973,2.001,1.973,2.121,2.135
Sergipe,3.499,3.518,3.447,3.509,3.519,3.507,3.503,3.511,3.445,3.450,8.412,3.496,3.417,3.416,3.411,3.410,3.388,3.380,3.366,3.354,3.385,3.398,3.404,3.397,3.412,3.408,3.400,3.395,3.376,3.370,3.364,3.348,3.353,3.358,3.378,3.369,3.363,3.353,3.363,3.351,3.370,3.388,3.400,3.395,3.405,3.405,3.422,3.430,3.439,3.437,3.442,3.438,3.453,3.442,3.451,3.459,3.454,3.462,3.479,3.474,3.480,3.452,3.454,3.423,3.387,3.415,3.399,3.279,3.293,3.339,3.357,3.337,3.265,3.347,3.330,3.315,3.283,3.296,3.334,3.289,3.274,3.286,3.340,3.300,3.344,3.335,3.337,3.334,3.299,3.303,3.314,3.252,3.302,3.292,3.296,3.291,3.271,3.273,3.265,3.246,3.266,3.261,3.238,3.244,3.247,3.234,3.236,3.227,3.225,3.232,3.230,3.220,3.229,3.226,3.225,3.237,3.240,3.233,3.232,3.228,3.235,3.221,3.231,3.236,3.240,3.242,3.241,3.232,3.226,3.209,3.221,3.222,3.217,3.218,3.220,3.203,3.199,3.189,3.173,3.152,3.120,3.094,3.085,3.077,3.079,3.069,3.054,3.046,3.041,3.038,3.028,3.013,3.011,2.996,2.992,2.967,2.962,2.938,2.925,2.923,2.922,2.918,2.910,2.900,2.897,2.874,2.870,2.854,2.879,2.851,1.482,1.493,1.490,1.486,1.498,1.491,1.489,1.497,1.501,1.506,1.487,1.482,1.488,1.490,1.501,1.502,1.499,1.497,1.494,1.493,1.477,1.258,1.151,1.156,1.162,1.148,1.152,1.145,1.146,1.170,1.155,1.164,1.164,1.122,1.149,1.061,1.163,1.164,1.162,1.165,1.170,1.169,1.175,1.171,1.180,1.190,1.168,1.157,1.206,1.218,1.212,1.266,1.287,1.362,1.342,1.360,1.314,1.201,1.113
Bahia,18.433,18.497,18.644,18.662,18.711,18.789,18.803,18.851,18.979,19.012,19.756,19.001,19.093,19.146,19.206,19.274,19.312,19.375,19.388,19.391,19.471,19.508,19.433,19.453,19.494,19.495,19.744,19.809,19.871,19.924,19.940,19.944,19.978,20.004,20.108,20.068,18.849,19.940,20.075,19.228,19.259,19.257,19.324,19.405,19.468,19.553,19.624,19.795,19.818,19.817,19.859,19.906,19.961,19.982,20.064,20.147,20.186,20.192,20.195,20.263,20.266,20.205,20.325,20.342,20.389,20.460,20.507,20.546,20.610,20.656,20.760,20.811,20.886,20.928,21.477,21.596,21.630,21.609,21.664,21.677,21.395,21.501,21.460,21.420,21.399,21.397,21.346,21.296,21.256,21.188,21.095,20.909,20.848,20.784,20.756,20.662,20.654,20.610,20.389,20.361,20.324,20.297,20.261,20.247,20.219,20.206,20.153,20.168,20.171,20.167,20.121,20.061,20.032,19.941,19.776,19.663,19.637,19.589,19.592,19.573,19.470,19.339,19.171,19.104,19.008,18.955,18.913,18.065,17.033,16.884,16.658,16.592,16.508,16.493,16.435,16.415,16.395,16.238,16.198,16.158,16.119,16.093,16.042,16.004,15.936,15.913,15.892,15.879,15.864,15.858,15.842,15.648,15.534,15.455,15.407,15.376,15.327,15.292,15.232,15.212,15.154,15.096,15.060,15.026,14.986,14.948,14.924,14.916,14.888,14.871,14.799,14.754,14.734,14.707,14.651,14.617,14.621,14.595,14.550,14.525,14.534,14.339,14.358,14.315,14.281,14.247,14.220,14.162,14.116,14.075,14.037,13.994,13.984,13.944,13.890,13.858,13.800,13.773,13.776,13.707,13.683,13.660,13.636,13.608,13.597,13.585,13.551,13.517,13.480,13.449,13.437,13.394,13.376,13.357,13.441,13.267,13.251,12.311,11.324,11.307,11.295,11.180,10.840,10.656,10.407,10.278,10.247,10.152,10.357
Minas Gerais,72.145,72.242,72.569,72.655,72.470,72.336,72.345,72.353,72.578,72.630,77.781,72.597,72.597,72.747,72.706,72.747,72.917,72.953,73.016,73.121,73.268,73.331,78.764,73.486,73.555,73.599,73.588,73.627,73.743,73.886,73.982,74.311,74.617,74.944,75.173,75.293,75.323,75.421,75.368,75.714,76.032,76.325,76.625,77.031,77.417,78.448,77.935,78.147,79.794,79.718,79.932,80.131,81.089,81.646,81.284,80.493,81.320,80.953,80.559,80.680,80.300,79.918,80.969,80.047,80.280,79.906,80.359,79.801,79.884,80.027,80.000,80.027,79.882,79.708,80.593,80.255,80.309,80.407,80.456,80.530,80.597,80.678,80.759,80.940,80.996,81.024,81.103,80.656,81.901,81.451,81.715,81.875,81.968,82.122,81.830,82.299,82.288,82.117,82.305,81.908,82.505,82.431,82.542,82.564,82.541,82.646,82.718,82.528,82.593,82.440,82.947,82.694,82.796,81.899,82.474,82.086,82.103,82.263,82.290,82.500,82.521,82.587,82.575,82.484,82.617,82.530,82.664,82.073,82.911,82.517,82.294,82.470,81.632,81.496,81.422,81.390,81.274,81.108,80.806,80.702,80.652,80.417,80.321,80.118,80.134,80.074,79.896,80.055,80.219,80.097,80.140,79.991,79.776,79.351,79.628,79.487,79.466,79.336,79.361,79.194,79.135,79.036,78.911,78.930,78.951,78.907,79.027,78.880,78.781,78.594,78.561,78.495,78.375,78.260,78.121,78.056,77.885,77.756,77.582,77.172,76.924,76.702,76.562,76.425,40.765,34.456,34.584,34.617,34.615,34.656,34.702,34.715,34.842,34.858,34.868,34.764,34.752,34.712,34.746,34.775,34.719,34.691,34.610,34.546,34.502,34.547,34.519,34.535,34.497,34.465,34.504,34.585,34.596,34.621,34.620,34.614,34.945,35.055,35.003,35.011,34.988,34.850,34.794,34.675,34.630,34.627,34.599,34.408,34.307
Espírito Santo,11.417,11.430,11.513,11.518,11.459,11.411,11.394,11.407,11.411,11.431,11.450,11.448,11.435,11.454,11.470,11.487,11.473,11.483,11.480,11.446,11.463,11.462,11.503,11.531,11.572,11.532,11.450,11.460,11.478,11.500,11.496,11.505,11.496,11.507,11.520,11.523,11.523,11.506,11.523,11.533,11.541,11.543,11.541,11.555,11.591,11.576,11.577,11.581,11.600,11.615,11.626,11.622,11.633,11.635,11.653,11.520,11.510,11.552,11.592,11.580,11.539,11.559,11.558,11.561,11.540,11.771,11.945,11.905,11.972,11.908,11.870,11.924,11.972,12.014,12.196,12.134,12.254,12.243,12.270,12.350,12.465,12.429,12.456,12.440,12.536,12.514,12.584,12.535,12.600,12.646,12.627,12.616,12.718,12.792,12.825,12.793,12.689,12.826,12.950,12.763,12.774,12.771,12.762,12.841,12.917,12.904,13.018,13.034,13.075,13.048,13.169,13.191,13.223,13.302,13.331,13.395,13.401,13.523,13.505,13.463,13.550,13.542,13.580,13.596,13.732,13.702,13.718,13.779,13.638,13.831,13.822,13.838,13.888,13.837,13.896,13.808,13.851,13.878,13.819,13.822,13.852,13.768,13.715,13.774,13.662,13.753,13.714,13.677,13.623,13.635,13.529,13.533,13.534,13.528,13.466,13.519,13.395,13.388,13.398,13.462,13.436,13.331,13.382,13.257,13.336,12.838,13.258,13.273,13.354,13.318,13.303,13.330,13.370,13.359,13.311,13.391,13.179,12.513,12.435,12.580,12.533,12.532,12.546,12.563,12.590,12.552,12.537,12.426,12.392,12.365,12.297,12.365,12.303,12.299,12.298,12.286,12.298,12.267,12.336,12.349,12.638,12.559,12.576,11.964,11.801,11.711,11.755,11.816,11.909,11.971,11.954,12.248,11.921,11.894,11.912,11.924,11.902,11.857,11.942,11.886,11.878,11.805,11.839,11.818,11.798,11.687,11.607,11.484,11.540
Rio de Janeiro,19.222,19.137,19.044,19.044,18.969,18.951,18.912,18.869,18.831,18.796,18.782,18.754,20.153,20.064,20.015,19.942,19.751,19.866,19.889,19.848,19.865,19.817,19.784,20.686,19.812,19.754,18.203,18.194,18.198,18.050,18.083,18.050,18.047,19.369,19.460,19.320,19.273,19.047,19.257,18.964,19.066,18.905,18.921,18.714,18.581,18.722,18.644,18.686,18.653,18.527,18.502,18.528,18.455,18.568,18.436,18.366,18.330,18.319,18.226,18.071,18.016,17.970,17.928,17.952,17.888,17.841,17.819,17.663,17.810,17.688,17.632,17.549,17.496,17.455,17.488,17.441,17.475,17.352,17.385,17.283,17.256,17.217,17.196,17.220,17.176,17.150,17.043,17.010,16.993,16.988,16.958,16.888,16.874,16.837,16.791,16.788,16.724,16.550,16.585,16.435,16.430,16.411,16.348,16.259,16.196,16.074,15.975,15.920,16.071,16.052,16.134,15.509,15.455,15.415,14.142,14.077,13.862,13.841,13.853,13.774,13.763,13.743,13.663,13.599,13.652,13.574,13.506,13.460,13.523,13.477,13.423,13.417,13.359,13.386,13.382,13.362,13.279,13.170,13.174,13.050,13.061,12.948,12.961,12.894,12.276,12.260,12.156,12.062,12.042,11.986,11.955,11.871,11.830,11.771,11.726,11.732,12.214,12.118,12.128,12.034,11.981,11.962,11.882,11.843,12.779,15.023,15.240,15.310,15.087,15.023,15.074,14.999,15.139,15.177,15.150,14.998,14.949,14.946,14.873,14.873,14.781,14.729,14.711,14.646,14.644,14.589,14.542,14.522,14.430,14.377,14.360,13.931,14.391,14.331,14.295,14.267,14.176,14.120,14.043,13.930,14.372,13.693,13.571,13.466,13.661,13.598,13.691,13.574,13.350,13.193,13.152,13.092,13.268,13.234,13.193,12.990,13.033,13.307,13.289,13.226,13.295,13.238,13.391,13.331,13.020,12.851,12.693,12.657,12.724
São Paulo,131.708,131.405,131.718,131.247,130.159,129.916,130.154,129.894,129.501,130.941,129.305,128.846,128.721,128.179,128.317,127.995,127.781,127.557,127.234,126.072,126.420,126.133,125.687,125.388,125.172,124.960,125.073,124.181,124.231,123.814,123.684,123.749,123.459,123.559,122.875,123.351,123.412,122.708,122.759,122.340,122.472,122.637,122.753,122.532,122.491,122.726,122.792,122.762,122.909,127.410,128.000,128.521,128.589,123.971,125.546,124.605,124.136,125.117,124.325,124.780,124.320,124.110,124.753,124.194,124.369,124.292,124.274,123.756,123.512,123.773,123.219,123.782,124.340,123.686,123.841,123.679,123.777,123.966,124.477,124.670,124.707,124.837,124.996,125.333,125.148,125.563,125.594,125.953,126.213,126.274,122.641,123.605,116.602,120.336,121.186,120.269,120.043,119.826,120.226,120.034,120.538,120.631,120.561,121.077,120.735,121.334,121.722,121.742,121.547,121.906,121.969,122.173,122.223,122.033,122.338,122.326,122.420,122.542,122.974,122.803,122.987,123.590,123.340,123.805,124.055,123.698,123.398,123.798,123.619,124.276,124.198,124.041,123.871,124.104,123.626,123.107,122.614,115.682,113.174,111.029,110.856,109.028,107.027,106.380,107.902,107.921,106.209,107.602,107.513,107.180,106.848,107.064,106.373,106.212,106.148,105.912,105.547,106.238,105.572,105.256,105.337,105.117,104.790,104.744,104.381,104.434,104.558,104.681,104.130,104.780,104.217,104.126,103.495,103.133,103.026,103.000,102.526,102.762,102.430,102.118,101.944,101.706,101.726,101.759,101.636,101.501,101.385,101.567,101.181,101.236,100.880,100.849,100.528,100.494,99.357,98.171,98.117,97.668,97.451,97.928,98.099,97.868,97.918,97.897,97.822,96.902,97.069,96.921,96.532,96.630,96.700,96.252,95.874,95.273,95.114,95.168,94.788,92.996,93.848,93.986,94.422,89.841,89.972,90.211,90.464,90.076,90.142,90.250,89.841
Paraná,50.238,50.313,50.473,50.898,50.485,51.313,51.397,50.957,50.880,51.098,51.281,51.214,51.235,50.818,50.896,51.267,51.955,59.091,52.453,52.810,53.307,53.653,54.059,54.461,54.776,55.111,55.468,55.904,55.999,56.328,56.176,56.168,56.482,56.886,57.476,57.882,58.174,58.583,58.970,59.470,59.579,59.555,58.881,59.086,59.338,59.774,60.206,60.315,60.199,60.264,60.573,60.964,61.136,61.687,62.170,62.937,63.594,64.319,64.990,65.283,65.199,65.041,65.447,65.844,66.210,66.556,66.787,67.325,67.681,68.234,68.716,68.646,68.273,68.460,68.818,69.715,68.646,69.477,67.854,68.156,68.576,69.113,70.224,71.048,71.385,71.439,71.974,73.019,74.347,75.519,77.694,78.644,79.988,81.323,82.032,82.693,83.516,84.101,84.832,85.265,85.293,85.206,85.558,86.243,86.975,87.214,87.779,88.817,89.514,89.987,90.579,91.215,91.963,92.579,93.271,93.915,95.096,95.654,95.582,95.649,95.677,95.627,95.151,93.947,93.540,93.467,93.323,93.052,93.493,93.274,93.212,93.220,92.931,93.119,93.137,93.067,92.962,92.357,91.724,91.137,90.903,90.606,90.107,89.606,89.222,88.905,88.810,87.041,86.131,85.842,85.603,85.482,85.220,84.980,84.487,83.670,81.863,80.841,80.753,80.594,80.205,79.694,79.322,78.931,78.388,78.138,78.159,78.015,77.917,77.667,77.759,76.817,76.110,75.916,75.600,75.263,75.052,75.144,75.034,74.825,74.759,74.584,74.293,74.380,74.477,74.365,74.203,74.069,73.975,74.029,73.938,73.814,73.435,73.251,73.155,73.098,72.897,72.837,72.791,72.834,72.583,72.578,72.671,72.725,73.092,72.943,73.063,73.107,73.085,73.137,73.022,73.045,73.005,72.979,72.918,72.850,72.725,72.656,72.472,72.160,71.924,71.787,71.646,71.595,71.417,71.208,71.064,70.921,70.826
Santa Catarina,55.018,54.787,54.774,54.723,54.816,54.999,55.070,55.308,55.571,55.318,55.435,55.570,55.566,55.494,55.706,55.958,56.255,56.575,56.839,57.302,57.702,57.808,57.969,58.171,58.272,58.391,58.546,58.936,59.185,59.423,61.466,59.866,59.864,60.540,60.913,61.053,61.164,61.586,61.925,62.308,61.863,62.165,62.778,63.411,63.908,64.414,64.947,65.293,65.739,65.198,67.338,66.968,67.607,68.185,68.699,69.290,69.786,70.331,70.859,70.934,71.300,70.252,71.660,72.995,72.291,72.918,73.258,73.624,74.098,74.520,74.940,74.253,76.756,72.750,79.198,76.665,77.158,77.703,78.338,78.861,79.567,78.007,83.365,81.486,82.037,82.303,82.908,83.295,83.889,84.472,84.856,85.388,85.895,86.088,86.556,86.829,87.149,87.364,87.897,88.374,88.885,89.224,89.764,90.420,91.181,91.752,91.558,92.290,92.458,92.857,93.364,94.129,94.778,95.440,96.047,96.745,96.826,97.253,97.486,97.541,97.683,97.661,98.024,98.408,98.901,99.311,99.559,99.931,100.497,100.872,101.138,101.153,101.344,101.502,101.635,101.928,101.941,102.227,102.433,102.442,102.768,103.062,103.253,102.997,102.915,102.815,102.895,102.971,103.024,102.976,102.841,103.004,102.944,103.161,103.163,103.087,103.248,103.315,103.415,103.445,103.712,103.791,103.757,103.952,104.035,104.414,104.483,104.418,104.836,104.960,105.229,105.679,106.146,106.553,106.843,107.168,107.524,107.879,108.229,108.523,108.792,108.703,108.972,109.312,109.729,109.926,110.359,110.786,111.035,111.358,111.675,111.921,113.133,113.027,113.482,114.136,114.096,114.403,115.055,115.398,116.176,117.282,118.365,119.134,119.807,120.220,121.154,121.998,122.856,123.864,124.683,125.794,126.782,127.616,128.343,128.949,129.774,129.824,130.609,131.011,131.601,132.099,132.761,133.671,134.287,135.033,135.557,135.964,136.452
Rio Grande do Sul,53.976,53.853,54.034,53.944,54.016,54.101,54.222,54.224,54.280,54.424,54.457,54.496,55.022,54.965,55.055,55.018,55.018,55.067,55.113,55.260,54.886,55.050,55.321,55.274,55.261,55.289,55.386,55.355,55.283,55.239,55.138,55.011,54.936,54.914,54.931,54.904,54.889,54.926,54.925,54.926,55.020,55.084,55.407,55.583,55.684,55.930,56.121,56.266,56.511,56.116,55.828,56.542,54.355,53.212,51.276,44.419,42.474,41.884,42.000,42.191,42.418,42.536,42.713,42.765,42.724,42.811,42.924,43.110,43.263,43.233,43.521,43.533,43.561,43.745,44.276,44.403,44.553,44.850,45.033,45.324,45.523,45.802,46.111,45.982,45.825,45.635,45.539,45.443,45.395,45.307,45.404,37.728,37.615,37.387,37.096,36.928,36.898,36.941,36.936,36.970,36.882,36.998,37.041,37.072,37.073,37.131,37.155,37.223,37.225,37.205,36.874,36.862,36.946,37.045,37.142,37.108,37.108,37.159,37.217,37.198,37.161,37.013,36.901,36.677,36.641,36.649,36.650,36.597,36.543,36.503,36.452,36.407,36.388,36.274,36.037,35.865,35.804,35.881,35.828,35.464,35.616,35.594,35.519,35.480,35.227,35.088,35.002,34.921,34.776,34.667,34.557,34.453,34.407,34.323,34.315,34.390,34.337,34.246,34.253,34.216,34.281,34.258,34.272,34.220,34.217,34.188,34.137,34.040,33.847,34.032,33.985,33.944,33.873,33.843,33.684,33.597,33.536,33.511,33.814,33.856,33.763,33.737,33.703,33.657,33.602,33.601,33.556,33.420,33.094,33.018,32.899,32.914,32.758,32.676,32.240,31.402,31.311,31.208,30.912,30.800,30.645,30.393,30.090,29.695,29.601,24.503,26.607,26.561,27.579,27.784,27.745,27.700,27.644,27.623,27.357,27.348,27.466,27.422,27.426,27.348,27.273,27.228,25.565,21.841,21.843,21.760,21.757,21.724,21.635
